,value
rr_min,450.0
rr_mean,955.6666666666666
rr_max,1500.0
rr_range,1050.0
longest_rr_pause,1500.0
SDNN,137.82678339938948
RMSSD,242.1580418680728
pNN50,27.58620689655172
pvc_count,1.0
pvc_burden_pct,3.333333333333333
pvc_couplets,0.0
n_rpeaks,31.0
beats_per_min,62.0
signal_mean,-0.0272870324552059
signal_std,0.211383506655693
signal_var,0.0446829870343208
signal_rms,0.2131374478340149
signal_range,1.5959975719451904
signal_skew,-3.079182674013222
signal_kurtosis,11.054238304756751
zero_crossings,302.0
hr_mean,36.74510946494708
hr_std,15.65619706821137
hr_min,17.964071856287426
hr_max,62.82722513089006
hr_range,44.86315327460263
hr_slope,-0.0012342175145961
ecg_quality_mean,0.7200801296385692
ecg_quality_std,0.2597542441638135
ecg_quality_low_frac,0.5805
HRV_MeanNN,955.6666666666666
HRV_SDNN,140.18296746686485
HRV_SDANN1,
HRV_SDNNI1,
HRV_SDANN2,
HRV_SDNNI2,
HRV_SDANN5,
HRV_SDNNI5,
HRV_RMSSD,242.1580418680728
HRV_SDSD,246.42630469436537
HRV_CVNN,0.1466860489712572
HRV_CVSD,0.2533917424500239
HRV_MedianNN,960.0
HRV_MadNN,22.239
HRV_MCVNN,0.023165625
HRV_IQRNN,43.75
HRV_SDRMSSD,0.5788904072128079
HRV_Prc20NN,920.0
HRV_Prc80NN,975.0
HRV_pNN50,26.666666666666668
HRV_pNN20,63.33333333333333
HRV_MinNN,450.0
HRV_MaxNN,1500.0
HRV_HTI,5.0
HRV_TINN,523.4375
HRV_ULF,
HRV_VLF,
HRV_LF,
HRV_HF,0.1624724234202136
HRV_VHF,0.0210447628198518
HRV_TP,0.1835171862400654
HRV_LFHF,
HRV_LFn,
HRV_HFn,0.8853253842268353
HRV_LnHF,-1.8172469936428184
HRV_SD1,174.2497111121281
HRV_SD2,101.0396998014176
HRV_SD1SD2,1.7245667935929807
HRV_S,55311.31537362136
HRV_CSI,0.5798557665120001
HRV_CVI,5.4497840966304265
HRV_CSI_Modified,234.35381030597355
HRV_PIP,0.6
HRV_IALS,0.6551724137931034
HRV_PSS,1.0
HRV_PAS,0.1
HRV_GI,48.54202401372213
HRV_SI,46.10984750520764
HRV_AI,50.89131922549941
HRV_PI,55.172413793103445
HRV_C1d,0.6561751172397572
HRV_C1a,0.3438248827602427
HRV_SD1d,141.16068604861016
HRV_SD1a,102.18156109871988
HRV_C2d,0.0257084980877345
HRV_C2a,0.9742915019122655
HRV_SD2d,16.20057391606187
HRV_SD2a,99.73245379890542
HRV_Cd,0.4975498598532264
HRV_Ca,0.5024501401467736
HRV_SDNNd,100.47088603402496
HRV_SDNNa,100.96443376090969
HRV_DFA_alpha1,0.3180142492065817
HRV_MFDFA_alpha1_Width,2.182135817397029
HRV_MFDFA_alpha1_Peak,0.8564740775883524
HRV_MFDFA_alpha1_Mean,0.7229222780734271
HRV_MFDFA_alpha1_Max,-0.9883323192442964
HRV_MFDFA_alpha1_Delta,-0.5582098807082676
HRV_MFDFA_alpha1_Asymmetry,-0.561202331426938
HRV_MFDFA_alpha1_Fluctuation,0.0062709283421668
HRV_MFDFA_alpha1_Increment,0.3419544490232679
HRV_ApEn,0.4452775061474765
HRV_SampEn,0.6234672599219557
HRV_ShanEn,3.7647351787255054
HRV_FuzzyEn,0.549859467394614
HRV_MSEn,0.0
HRV_CMSEn,0.0
HRV_RCMSEn,0.0
HRV_CD,0.7467677580528957
HRV_HFD,1.9633552309750515
HRV_KFD,1.9919446483624843
HRV_LZC,1.4720671786825554
patient_id,480.0
window_idx,1456.0
start_idx,8736000.0
duration_sec,30.0
HRV_DFA_alpha2,
