,mean_value
rr_min,451.5833333333333
rr_mean,671.5043720021534
rr_max,1040.0416666666667
rr_range,588.4583333333334
longest_rr_pause,1040.0416666666667
SDNN,117.82797775884468
RMSSD,170.98459723075848
pNN50,70.27671345298877
pvc_count,2.7583333333333333
pvc_burden_pct,6.330265970609181
pvc_couplets,0.26666666666666666
n_rpeaks,44.65
beats_per_min,89.3
signal_mean,-0.015389667660929213
signal_std,0.10796960157652694
signal_var,0.012368779229776257
signal_rms,0.1091172027091185
signal_range,1.709890104830265
signal_skew,-3.5532836512765065
signal_kurtosis,34.75754966587036
zero_crossings,973.8916666666667
hr_mean,90.64592480816478
hr_std,12.502861239377804
hr_min,63.66164887558691
hr_max,130.22652221115268
hr_range,66.56487333556579
hr_slope,-0.00011940455627974256
ecg_quality_mean,0.7810910334589568
ecg_quality_std,0.2171124612281974
ecg_quality_low_frac,0.3706277777777778
HRV_MeanNN,671.5043720021534
HRV_SDNN,119.21118876891639
HRV_SDANN1,
HRV_SDNNI1,
HRV_SDANN2,
HRV_SDNNI2,
HRV_SDANN5,
HRV_SDNNI5,
HRV_RMSSD,170.98459723075848
HRV_SDSD,172.91686048072864
HRV_CVNN,0.17679988229070207
HRV_CVSD,0.25395486242917886
HRV_MedianNN,651.2083333333334
HRV_MadNN,97.4500625
HRV_MCVNN,0.14957307418571558
HRV_IQRNN,133.0
HRV_SDRMSSD,0.6961527171696512
HRV_Prc20NN,585.625
HRV_Prc80NN,750.1583333333333
HRV_pNN50,68.66305408703826
HRV_pNN20,84.4325401463125
HRV_MinNN,451.5833333333333
HRV_MaxNN,1040.0416666666667
HRV_HTI,11.385654761904762
HRV_TINN,171.484375
HRV_ULF,
HRV_VLF,
HRV_LF,
HRV_HF,0.12094104567447744
HRV_VHF,0.03445833200965122
HRV_TP,0.15539937768412873
HRV_LFHF,
HRV_LFn,
HRV_HFn,0.7797495386126128
HRV_LnHF,-2.1650962355617858
HRV_SD1,122.27068462741136
HRV_SD2,112.77811806877796
HRV_SD1SD2,1.0955642526578855
HRV_S,45613.37210269979
HRV_CSI,0.9296594646591553
HRV_CVI,5.32282856935141
HRV_CSI_Modified,423.9682399113027
HRV_PIP,0.6570701511928398
HRV_IALS,0.6922126546276309
HRV_PSS,0.9151506242853017
HRV_PAS,0.27720776908276906
HRV_GI,50.36126064985385
HRV_SI,50.236274082086396
HRV_AI,50.491652133959285
HRV_PI,50.5997847591959
HRV_C1d,0.5173052555191853
HRV_C1a,0.4826947444808147
HRV_SD1d,88.03158462000232
HRV_SD1a,84.30924537361473
HRV_C2d,0.46887981114943733
HRV_C2a,0.5311201888505627
HRV_SD2d,76.82126993151721
HRV_SD2a,81.18839867587431
HRV_Cd,0.49623241124950174
HRV_Ca,0.5037675887504983
HRV_SDNNd,83.1065768097742
HRV_SDNNa,83.11627612797533
HRV_DFA_alpha1,0.5851612601751353
HRV_MFDFA_alpha1_Width,1.6806701127361927
HRV_MFDFA_alpha1_Peak,0.8641119368839383
HRV_MFDFA_alpha1_Mean,1.1060812507625917
HRV_MFDFA_alpha1_Max,-0.4991470211305663
HRV_MFDFA_alpha1_Delta,-0.7495695320665288
HRV_MFDFA_alpha1_Asymmetry,-0.37238313455217115
HRV_MFDFA_alpha1_Fluctuation,0.0021555724184632906
HRV_MFDFA_alpha1_Increment,0.26316772326627386
HRV_ApEn,0.3086253241926535
HRV_SampEn,inf
HRV_ShanEn,4.9525863759609345
HRV_FuzzyEn,1.5627793789930828
HRV_MSEn,0.4970064259599729
HRV_CMSEn,0.4711007883519668
HRV_RCMSEn,0.5131494272429418
HRV_CD,1.9160314449590699
HRV_HFD,1.9976099314711069
HRV_KFD,3.643307925332778
HRV_LZC,1.2584836873742815
patient_id,779.0
window_idx,1139.5
start_idx,6837000.0
duration_sec,30.0
HRV_DFA_alpha2,
